material_number,material_description,our_cost
277A6805P1,HINGE,1.01
DS200NATOG2A,NEXT GENERATION LCI,1204.42
277A4422AAG10,WIRE XDIA/XTFP,26.97
259B2426CCP50,SHUNT 50A 100MV I,18.87
277A6811P1,COVER,5.03
DS200NATOG3A,NEXT GENERATION LCI,587.31
36B605787AAG06A,CBL 2PL W/O SLCC CRIMPED {M},175.74
277A8495G01,WIRE  ADII GROUND WIRE,1.07
68A7184P34,CAPACITOR 5MF 2000VAC,66.64
DS200LPPAG1A,LINE PROTECTION CARD,49.08
277A7747P1,2SW SWITCH,24.65
277A7704P4,POT 10K  10%    5W S,36.00
36B605787AAG07,CBL 2PL W/O SLCC NOT CRIMPD,47.85
DS200MBHAG2A,MULTI-BRDG COM LINK,1019.63
259B2425ACG1,FAN ASM,169.50
246B9980AMG1,WATER COOLED BUS,306.74
246B9980ALG2,WATER COOLED BUS,297.92
DS200SIOCG1A,INSTANTANEOUS OVERCU DC ,2727.04
DS200UCIAG1A,UC2000 MOTHER BOARD,1689.54
36B605787AAG08A,2PL CRIMPED IMCP-LDCC-3TB/STBA,148.05
246B9980AMG2,WATER COOLED BUS,306.74
246B9980ALG1,WATER COOLED BUS,297.92
36B605787AAG07A,CBL 2PL W/O SLCC CRIMPED,116.94
278A2175PUP1,BLUE HOSE FOR PM (UOM IS FEET),2.94
68A7184P32,CAPACITOR 2MF 1500VA - MIN BUY 70,73.68
DS200PCCAG5A,POWER CONNECT CARD,384.16
259A9249P38,MOV(130L20B) 130V RM,1.07
255B1051AR002,GND BUS  OS PLATING REQD,16.44
259B2426BSP1000,SHUNT 1000A 100MV  I,134.78
DS200RTBAG3A,RELAY CARD,453.43
305A6482P2,PINCER TOOL,48.39
323A2372P1,MYLAR SHEET,1.76
DS200GDPAG1A,25KHZ GATE DRIVER PO,1262.04
36B605787AAG04A,2PL CRIMPED CABLE ASSEMBLY- QX,147.62
323A2354P7,RESISTOR,17.54
DS200GGDAG1A,GTO GATEDRIVER BOARD,1758.13
323A2375P1,DNS - LTB JULY 2008,30.38
36B605787AAG06,2PL CABLE,33.19
DS200FCRLG1A,FIRING CIRCUIT REPL.,651.74
323A2396P158,FUSE 4A 125VAC TYPE 2AG,1.07
DS200DSFBG1A,DRIVER/SHUNT FEEDBAC,1015.04
36B605787AAG03A,CBL 2PL W/O SLCC CRIMPED,102.74
323A2396P14,FUSE AGC 3A 250V BUSS,0.39
323A2396P11,FUSE 1A,1.02
323A2354P2,RESISTOR,11.00
68A7228P1,DIO 1A      400V FAST RECOVERY,3.43
323A2354P40,RES 60W 10K OHM CEN,16.04
DS200ITXDG1A,IGBT Q DB SNUBBER CA,705.53
278A3377P6,FILTER,7.13
304A9985P1A,FUSE=1 MATCHED PR,155.11
278A2175VNP2,FILTER_CARTRIDGE,23.36
278A2175VNP1,FILTER HOUSING,169.88
36B605787AAG05A,CBL 2PL W/O SLCC CRIMPED,283.05
DS200ITXSG1A,INVERTER SNUBBER CAR,743.27
305A6433P120,FITT BARB TEE,9.09
DS200GSIAG1C,COMMON DC BUS REGEN,754.44
305A6482P5,OETIKER HOSE CLAMP (,0.99
323A2335P2,ENHANCED XFMR  PULSE,14.94
68A7184P6A,CAP 3 1500V 10% P/OI,73.21
DS200IIBDG1A,AC2000I IGBT DRIVER,886.11
36B605787AAG05,CBL 2PL W/O SLCC NOT CRIMPD,35.80
246B9953BRG1,RESERVOIR 13GAL LCI2000,466.56
DS215SLCCG1AZZ01B,SLCCG1 & FW,848.46
218A4274P11,RELAY 28VDC W/PB LITE,315.83
36B605787ACG04A,CBL2PLW/SLCCCRIMPED {Q},233.35
DS3810WCSG,WATER_COOL_SCR_STACK;   NO CDS,1338.11
218A4123P6,FAN,57.99
193X528AD G01,OBS:INTERFACE CARD,336.08
218A4274P21,125VDC W/PB LITE DIODE,296.49
68A7178P26,CAP-2500VPK-0.1-MFD,21.26
